x,y,STATION_NAME,STN_ID,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.4,2011-02-04 00:00:00,QC,2011,2,4,,M,,M,,M,0,,,M,,M,,,25,,44,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.5,2011-02-05 00:00:00,QC,2011,2,5,,M,,M,,M,7.1,,,M,,M,,,1,,39,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.6,2011-02-06 00:00:00,QC,2011,2,6,,M,,M,,M,1.9,,,M,,M,,,0,,0,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.7,2011-02-07 00:00:00,QC,2011,2,7,,M,,M,,M,2.1,,,M,,M,,,0,,0,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.8,2011-02-08 00:00:00,QC,2011,2,8,,M,,M,,M,2.8,,,M,,M,,,27,,50,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.9,2011-02-09 00:00:00,QC,2011,2,9,,M,,M,,M,0,,,M,,M,,,24,,46,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.10,2011-02-10 00:00:00,QC,2011,2,10,,M,,M,,M,0,,,M,,M,,,24,,39,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.11,2011-02-11 00:00:00,QC,2011,2,11,,M,,M,,M,0,,,M,,M,,,26,,33,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.12,2011-02-12 00:00:00,QC,2011,2,12,,M,,M,,M,1.3,,,M,,M,,,31,,50,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.13,2011-02-13 00:00:00,QC,2011,2,13,,M,,M,,M,8.3,,,M,,M,,,15,,33,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.14,2011-02-14 00:00:00,QC,2011,2,14,,M,,M,,M,5.5,,,M,,M,,,35,,56,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.15,2011-02-15 00:00:00,QC,2011,2,15,,M,,M,,M,0.2,,,M,,M,,,30,,37,,,M,,M,,,,
-73.74166666666666,45.467777777777776,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,30165,702S006,702S006.2011.2.16,2011-02-16 00:00:00,QC,2011,2,16,,M,,M,,M,,M,,M,,M,,,,M,,M,,M,,M,,,,
